as_of,download_time,gross_salary,link,name,net_salary,role,sector
2019-01-01,2019-03-04 12:31:43.482199,"R$ 6.963,62",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/40557_detalhes.html,40557,"R$ 5.452,29",VEREADOR,PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 24.165,87",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/24147_detalhes.html,24147,"R$ 18.028,19",ASSESSOR LEGISLATIVO,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 5.180,85",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/230931_detalhes.html,230931,"R$ 4.209,62",CHEFE DE GABINETE DA PRESIDÊNCIA,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 7.631,52",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/23636_detalhes.html,23636,"R$ 6.040,79",ASSISTENTE LEGISLATIVO I,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 14.247,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/231243_detalhes.html,231243,"R$ 10.732,99",CHEFE DE GABINETE DA PRESIDÊNCIA,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 22.314,72",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/27638_detalhes.html,27638,"R$ 16.660,32",CHEFE DE CERIMONIAL,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 10.341,59",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/29157_detalhes.html,29157,"R$ 7.901,32",ASSISTENTE LEGISLATIVO III,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 10.858,67",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/29385_detalhes.html,29385,"R$ 8.276,20",ASSESSOR DE COMUNICAÇÃO EXTERNA I,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 24.165,87",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/24252_detalhes.html,24252,"R$ 17.976,06",ASSESSOR LEGISLATIVO,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 11.971,42",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/29035_detalhes.html,29035,"R$ 9.187,22",ASSISTENTE LEGISLATIVO III,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 18.371,18",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/28539_detalhes.html,28539,"R$ 13.774,91",ASSESSOR DE COMUNICAÇÃO EXTERNA II,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 11.401,60",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/27760_detalhes.html,27760,"R$ 8.669,82",ASSISTENTE LEGISLATIVO III,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 10.858,67",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/26917_detalhes.html,26917,"R$ 8.328,34",ASSISTENTE LEGISLATIVO III,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 7.976,92",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/230194_detalhes.html,230194,"R$ 6.186,93",ASSISTENTE LEGISLATIVO II,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 21.198,50",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/26468_detalhes.html,26468,"R$ 15.876,85",ASSESSOR DE IMPRENSA INSTITUCIONAL,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 10.341,59",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/230324_detalhes.html,230324,"R$ 7.901,32",ASSISTENTE LEGISLATIVO III,GABINETE DA PRESIDÊNCIA
2019-01-01,2019-03-04 12:31:43.482199,"R$ 10.341,59",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/230883_detalhes.html,230883,"R$ 7.901,32",ASSISTENTE LEGISLATIVO III,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PSB
2019-01-01,2019-03-04 12:31:43.482199,"R$ 9.297,53",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/26976_detalhes.html,26976,"R$ 7.457,20",ASSESSOR  PARLAMENTAR,03º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 5.323,16",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/26514_detalhes.html,26514,"R$ 4.478,41",ASSESSOR DE GABINETE,03º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 4.179,91",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/24878_detalhes.html,24878,"R$ 3.501,48",ASSESSOR ESPECIAL LEGISLATIVO,03º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 9.762,41",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/27961_detalhes.html,27961,"R$ 7.637,82",ASSESSOR  PARLAMENTAR,03º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 18.631,04",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/27621_detalhes.html,27621,"R$ 13.963,30",COORDENADOR ESPECIAL LEGISLATIVO,03º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 7.984,72",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/27556_detalhes.html,27556,"R$ 6.401,13",ASSESSOR ESPECIAL DE GABINETE,03º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 7.097,96",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/27549_detalhes.html,27549,"R$ 5.758,23",ASSESSOR ESPECIAL LEGISLATIVO,03º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 18.631,04",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/27367_detalhes.html,27367,"R$ 14.171,85",COORDENADOR ESPECIAL LEGISLATIVO,03º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 16.898,90",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/231002_detalhes.html,231002,"R$ 12.655,37",COORDENADOR ESPECIAL LEGISLATIVO,06º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 14.484,77",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/230958_detalhes.html,230958,"R$ 10.957,26",COORDENADOR ESPECIAL DE GABINETE,06º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 6.438,06",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/230867_detalhes.html,230867,"R$ 5.227,67",ASSESSOR ESPECIAL LEGISLATIVO,06º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 14.484,77",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/230608_detalhes.html,230608,"R$ 10.905,12",COORDENADOR ESPECIAL DE GABINETE,07º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 19.428,20",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/230602_detalhes.html,230602,"R$ 14.489,11",CHEFE DE GABINETE,07º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 9.297,53",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/29117_detalhes.html,29117,"R$ 7.144,37",ASSESSOR  PARLAMENTAR,07º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 14.484,77",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/231222_detalhes.html,231222,"R$ 10.957,26",COORDENADOR ESPECIAL DE GABINETE,06º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 18.991,68",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/40582_detalhes.html,40582,"R$ 14.172,63",VEREADOR,07º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 4.828,26",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/231063_detalhes.html,231063,"R$ 4.353,16",ASSESSOR DE GABINETE,09º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 6.438,06",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/231018_detalhes.html,231018,"R$ 5.071,26",ASSESSOR ESPECIAL LEGISLATIVO,09º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 14.484,77",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/230945_detalhes.html,230945,"R$ 11.009,40",COORDENADOR ESPECIAL DE GABINETE,09º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 99,12",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/52424_detalhes.html,52424,"R$ 99,12",COMISSIONADO,10º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 4.019,15",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/231048_detalhes.html,231048,"R$ 3.767,80",ASSESSOR ESPECIAL DE APOIO PARLAMENTAR,10º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 6.759,96",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/23916_detalhes.html,23916,"R$ 5.304,63",ASSESSOR ESPECIAL LEGISLATIVO,12º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 19.428,20",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/230417_detalhes.html,230417,"R$ 14.489,11",CHEFE DE GABINETE,12º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 21.560,28",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/23652_detalhes.html,23652,"R$ 16.191,28",ASSESSOR ESPECIAL PARLAMENTAR,12º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 10.139,34",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/230578_detalhes.html,230578,"R$ 7.754,68",ASSESSOR ESPECIAL PARLAMENTAR,13º GABINETE DE VEREADOR
2019-01-01,2019-03-04 12:31:43.482199,"R$ 2.896,95",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_01/230629_detalhes.html,230629,"R$ 1.465,37",ASSESSOR ESPECIAL DE GABINETE,13º GABINETE DE VEREADOR
