as_of;download_time;gross_salary;link;name;net_salary;role;sector
01/01/18;2018-02-15 11:28:59.915455;R$35.884,13;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10759_detalhes.html;10759;R$26.937,49;TÌäCNICO ADMINISTRATIVO;SGA-11 - EQUIPE DE CONTROLE DE PESSOAL VARIÌVEL
01/01/18;2018-02-15 11:28:59.915455;R$35.577,50;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10924_detalhes.html;10924;R$23.985,32;;CTI-4 - EQUIPE DE TELECOMUNICAÌàÌ¥ES E INFRAESTRUTURA
01/01/18;2018-02-15 11:28:59.915455;R$35.528,27;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11140_detalhes.html;11140;R$23.898,26;PROCURADOR LEGISLATIVO;SETOR JURÌDICO-ADMINISTRATIVO
01/01/18;2018-02-15 11:28:59.915455;R$35.528,27;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10927_detalhes.html;10927;R$23.793,98;PROCURADOR LEGISLATIVO;SETOR DE PROCESSO LEGISLATIVO
01/01/18;2018-02-15 11:28:59.915455;R$35.175,20;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10101011_detalhes.html;ausÌ»ncia de divulgaÌ¤Ì£o em razÌ£o de determinaÌ¤Ì£o judicial;R$23.725,74;;SGA-3 - SECRETARIA DE INFRAESTRUTURA
01/01/18;2018-02-15 11:28:59.915455;R$34.898,78;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11005_detalhes.html;11005;R$23.439,94;TÌäCNICO ADMINISTRATIVO;SGA-84 - UNIDADE DE EXPEDIENTE
01/01/18;2018-02-15 11:28:59.915455;R$34.628,11;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/27638_detalhes.html;27638;R$25.535,39;CHEFE DE CERIMONIAL;GABINETE DA PRESIDÌ_NCIA
01/01/18;2018-02-15 11:28:59.915455;R$34.441,82;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10963_detalhes.html;10963;R$23.249,36;TÌäCNICO ADMINISTRATIVO;SGP-23 - EQUIPE DE FINALIZAÌàÌÄO DO PROCESSO LEGISLATIVO
01/01/18;2018-02-15 11:28:59.915455;R$34.331,56;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11041_detalhes.html;11041;R$25.811,88;TÌäCNICO ADMINISTRATIVO;SGA-25 - EQUIPE DE TESOURARIA
01/01/18;2018-02-15 11:28:59.915455;R$34.280,13;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10101012_detalhes.html;ausÌ»ncia de divulgaÌ¤Ì£o em razÌ£o de determinaÌ¤Ì£o judicial;R$23.145,03;;SGA - SECRETARIA GERAL ADMINISTRATIVA
