as_of,download_time,gross_salary,link,name,net_salary,role,sector
2019-03-01,2019-05-10 22:53:08.180164,"R$ 18.991,68",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_03/40557_detalhes.html,40557,"R$ 14.172,63",VEREADOR,PRESIDÊNCIA
2019-03-01,2019-05-10 22:53:08.180164,"R$ 0,00",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_03/27638_detalhes.html,27638,"R$ 0,00",CHEFE DE CERIMONIAL,GABINETE DA PRESIDÊNCIA
2019-03-01,2019-05-10 22:53:08.180164,"R$ 24.165,87",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_03/24147_detalhes.html,24147,"R$ 18.028,19",ASSESSOR LEGISLATIVO,GABINETE DA PRESIDÊNCIA
2019-03-01,2019-05-10 22:53:08.180164,"R$ 7.631,52",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_03/23636_detalhes.html,23636,"R$ 6.040,79",ASSISTENTE LEGISLATIVO I,GABINETE DA PRESIDÊNCIA
2019-03-01,2019-05-10 22:53:08.180164,"R$ 19.428,20",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_03/231243_detalhes.html,231243,"R$ 14.489,11",CHEFE DE GABINETE DA PRESIDÊNCIA,GABINETE DA PRESIDÊNCIA
2019-03-01,2019-05-10 22:53:08.180164,"R$ 11.401,60",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_03/27760_detalhes.html,27760,"R$ 8.669,82",ASSISTENTE LEGISLATIVO III,GABINETE DA PRESIDÊNCIA
2019-03-01,2019-05-10 22:53:08.180164,"R$ 10.341,59",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_03/29157_detalhes.html,29157,"R$ 7.901,32",ASSISTENTE LEGISLATIVO III,GABINETE DA PRESIDÊNCIA
2019-03-01,2019-05-10 22:53:08.180164,"R$ 11.971,42",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_03/29035_detalhes.html,29035,"R$ 9.187,22",ASSISTENTE LEGISLATIVO III,GABINETE DA PRESIDÊNCIA
2019-03-01,2019-05-10 22:53:08.180164,"R$ 18.371,18",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_03/28539_detalhes.html,28539,"R$ 13.774,91",ASSESSOR DE COMUNICAÇÃO EXTERNA II,GABINETE DA PRESIDÊNCIA
2019-03-01,2019-05-10 22:53:08.180164,"R$ 21.266,48",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2019_03/26468_detalhes.html,26468,"R$ 15.926,14",ASSESSOR DE IMPRENSA INSTITUCIONAL,GABINETE DA PRESIDÊNCIA
