as_of,download_time,gross_salary,link,name,net_salary,role,sector
2020-11-01,2020-12-15 18:11:59.653030,"R$ 22.105,34",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_11/11470_detalhes.html,11470,"R$ 14.704,18",PROCURADOR LEGISLATIVO,EQUIPE DE SISTEMATIZAÇÃO DE ASSUNTOS LEGISLATIVOS
2020-11-01,2020-12-15 18:11:59.653030,"R$ 29.578,64",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_11/11136_detalhes.html,11136,"R$ 19.311,65",TÉCNICO ADMINISTRATIVO,EQUIPE DE INTEGRAÇÃO E GESTÃO DO CONHECIMENTO JURIDICO
2020-11-01,2020-12-15 18:11:59.653030,"R$ 27.141,94",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_11/11424_detalhes.html,11424,"R$ 17.896,64",PROCURADOR LEGISLATIVO,EQUIPE DE SISTEMATIZAÇÃO DE ASSUNTOS LEGISLATIVOS
2020-11-01,2020-12-15 18:11:59.653030,"R$ 12.349,49",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_11/11274_detalhes.html,11274,"R$ 8.569,27",TÉCNICO ADMINISTRATIVO,EQUIPE DE SISTEMATIZAÇÃO DE ASSUNTOS LEGISLATIVOS
2020-11-01,2020-12-15 18:11:59.653030,"R$ 2.927,69",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_11/gcm_128_detalhes.html,GCM 128,"R$ 2.879,35",GUARDA CIVIL METROPOLITANO,GUARDA CIVIL METROPOLITANA
2020-11-01,2020-12-15 18:11:59.653030,"R$ 1.463,85",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_11/gcm_127_detalhes.html,GCM 127,"R$ 1.463,85",GUARDA CIVIL METROPOLITANO,GUARDA CIVIL METROPOLITANA
2020-11-01,2020-12-15 18:11:59.653030,"R$ 11.539,73",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_11/11455_detalhes.html,11455,"R$ 8.064,38",TÉCNICO ADMINISTRATIVO,EQUIPE DE INTEGRAÇÃO E GESTÃO DO CONHECIMENTO JURIDICO
2020-11-01,2020-12-15 18:11:59.653030,"R$ 4.035,10",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_11/gcm_130_detalhes.html,GCM 130,"R$ 3.805,99",GUARDA CIVIL METROPOLITANO,GUARDA CIVIL METROPOLITANA
2020-11-01,2020-12-15 18:11:59.653030,"R$ 2.927,69",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_11/gcm_129_detalhes.html,GCM 129,"R$ 2.865,13",GUARDA CIVIL METROPOLITANO,GUARDA CIVIL METROPOLITANA
2020-11-01,2020-12-15 18:11:59.653030,"R$ 4.035,10",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_11/gcm_126_detalhes.html,GCM 126,"R$ 3.805,99",GUARDA CIVIL METROPOLITANO,GUARDA CIVIL METROPOLITANA
